Designator,Mid X,Mid Y,Rotation,Layer
R60,124.088,-41.015,270.0,top
R61,119.516,-41.015,270.0,top
R62,114.944,-41.015,270.0,top
R63,110.372,-41.015,270.0,top
R64,105.8,-41.015,270.0,top
R65,101.228,-41.015,270.0,top
R66,89.544,-90.037,270.0,top
R67,96.656,-95.371,90.0,top
R68,98.18,-72.003,90.0,top
R69,89.29,-84.195,90.0,top
R6M1,104.95,-95.5,0.0,top
R7,52.05,-60.6625,90.0,top
R70,92.084,-41.015,270.0,top
R71,96.656,-41.015,270.0,top
R72,245.699,-83.157,270.0,top
R7M1,111.95,-95.0,90.0,top
R8,55.35,-76.8625,90.0,top
R8M1,109.949,-91.5,90.0,top
R9,55.35,-73.4625,90.0,top
R9M1,114.45,-73.0,180.0,top
TH1,188.93,-101.953,90.0,top
TH2,163.53,-43.406,270.0,top
TH3,214.33,-43.406,270.0,bottom
U1,113.93,-54.755,180.0,top
